PYPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
386,91.56,93.69,12181578,98.06,87.04,93.9636,139395,2020-03-19 04:00:00
387,95.64,86.68,14874413,96.23,86.21,90.2635,135450,2020-03-20 04:00:00
388,86.29,85.26,12969720,88.15,82.07,84.8804,138685,2020-03-23 04:00:00
389,89.4,97.29,13874872,98,89.4,95.5201,146814,2020-03-24 04:00:00
390,97.43,95.71,11814366,100.42,95.27,97.5222,123717,2020-03-25 04:00:00
391,96.31,100.63,9452863,100.93,95.635,99.0094,91765,2020-03-26 04:00:00
392,97,93.48,11311959,97.105,93.06,94.452,118791,2020-03-27 04:00:00
393,95.5,97.03,8948597,98.2599,94.37,96.6603,89566,2020-03-30 04:00:00
394,96.38,95.74,9882034,99.4314,94.87,96.6462,91905,2020-03-31 04:00:00
395,92.72,91.38,9628376,94.67,90.38,92.3232,106458,2020-04-01 04:00:00
396,91.1,93.52,7077181,94.6799,90.92,92.9018,72110,2020-04-02 04:00:00
397,92.79,92.39,7699462,92.95,89.88,91.409,83417,2020-04-03 04:00:00
398,97.8,101.67,11998987,102.5,96.26,99.9214,104842,2020-04-06 04:00:00
399,105.255,100.28,10291513,106.23,99.9,101.9301,94568,2020-04-07 04:00:00
400,101.61,105.06,9385890,105.505,100.75,103.9311,87173,2020-04-08 04:00:00
401,105.63,105.84,10894921,108.7,104.78,106.2329,101895,2020-04-09 04:00:00
402,104.85,105.98,7716160,106.29,102.34,104.6441,74383,2020-04-13 04:00:00
403,109,109.785,8417858,110.98,107.93,109.7589,86139,2020-04-14 04:00:00
404,107.46,107.95,7821377,109.09,106.42,107.8455,74487,2020-04-15 04:00:00
405,109.5,108.31,9575624,109.525,106.57,107.9044,105037,2020-04-16 04:00:00
406,110.3,111.85,11069777,112.12,110.054,111.0837,108833,2020-04-17 04:00:00
407,110.9,112.17,10730723,114.3,110.025,112.276,117353,2020-04-20 04:00:00
408,111.12,107.54,11736608,112.85,107.41,109.5467,131445,2020-04-21 04:00:00
409,110.29,115.19,12879850,116,109.91,114.2702,113240,2020-04-22 04:00:00
410,115.94,115.24,7563183,118.385,115,116.4148,86482,2020-04-23 04:00:00
411,115.47,120.18,10680406,120.47,115.4,118.7148,96383,2020-04-24 04:00:00
412,121.25,120.53,6678219,122.387,120.055,120.9012,77464,2020-04-27 04:00:00
413,121.66,116.14,9192284,122,115.9029,117.6073,105121,2020-04-28 04:00:00
414,119.3,123.58,9891526,124.03,118.645,122.3978,109771,2020-04-29 04:00:00
415,121.35,123,7569776,123.45,120.62,122.296,79826,2020-04-30 04:00:00
416,119.85,120.61,5613832,122.7,119.43,120.6484,64514,2020-05-01 04:00:00
417,121.26,123.66,7634351,124.18,120.31,122.7396,80482,2020-05-04 04:00:00
418,124.94,125.43,9241882,127.94,124.85,126.4571,88132,2020-05-05 04:00:00
419,127.05,128.31,14031243,129.59,126.12,128.3537,141017,2020-05-06 04:00:00
420,139.92,146.29,35487924,147.2,139.28,144.6191,309819,2020-05-07 04:00:00
421,143.25,144.96,13169422,146.4,142.11,144.7466,143322,2020-05-08 04:00:00
422,142.96,143.96,10273368,145.27,142.18,144.1768,101766,2020-05-11 04:00:00
423,144,141.03,9757599,145.65,140.91,143.6845,113599,2020-05-12 04:00:00
424,140.2,143.73,11142641,145.1,139.61,142.5294,132462,2020-05-13 04:00:00
425,142.07,144.41,9272877,144.7,141.43,143.1956,106248,2020-05-14 04:00:00
426,142.9,145.51,8361165,145.89,141.63,144.227,87524,2020-05-15 04:00:00
427,148.125,146.24,8580542,149.18,145.99,147.3635,101612,2020-05-18 04:00:00
428,146.7497,145.39,7779063,149.72,145.22,147.6706,93287,2020-05-19 04:00:00
429,148,150.94,7811268,151.08,147.9,150.3366,92796,2020-05-20 04:00:00
