GOOG,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
906,132.9,129.7965,23887340,132.9392,129.6175,130.6921,106246,2022-04-11 04:00:00
907,132.4235,128.3745,23003220,132.4235,127.576,129.5384,91648,2022-04-12 04:00:00
908,128.6265,130.286,19542960,130.6557,128.4386,129.7583,68620,2022-04-13 04:00:00
909,130.6495,127.253,22783360,130.7103,127.1115,128.1045,88308,2022-04-14 04:00:00
910,127.41,127.961,14917200,128.712,126.5785,127.6945,65767,2022-04-18 04:00:00
911,128.077,130.531,22319300,130.9038,127.4515,129.8571,70201,2022-04-19 04:00:00
912,131.284,128.2455,22609380,131.9235,127.8941,129.1548,85861,2022-04-20 04:00:00
913,129.35,124.9375,30157540,130.3075,124.65,126.4703,122549,2022-04-21 04:00:00
914,125,119.614,46358300,125.452,119.1405,121.219,178402,2022-04-22 04:00:00
915,119.4295,123.25,34521800,123.278,118.7693,121.7167,125846,2022-04-25 04:00:00
916,122.75,119.506,49379360,122.75,119.1619,119.2091,192545,2022-04-26 04:00:00
917,114.373,115.0205,62238120,117.5,113.1243,115.3725,201491,2022-04-27 04:00:00
918,117.115,119.4115,36790940,120.4385,115.1439,117.9925,116055,2022-04-28 04:00:00
919,117.578,114.9665,33693100,118.96,114.694,116.4461,102218,2022-04-29 04:00:00
920,113.9065,117.157,30279640,117.3395,113.3995,115.6873,97508,2022-05-02 04:00:00
921,116.765,118.1295,21215740,119.3,116.627,118.0684,63376,2022-05-03 04:00:00
922,118.0035,122.575,33231460,123.143,115.7385,119.5489,95821,2022-05-04 04:00:00
923,120.2205,116.7465,43089040,121.2333,115.1825,117.0535,127399,2022-05-05 04:00:00
924,115.519,115.66,35301280,117.4985,114.143,115.7495,110078,2022-05-06 04:00:00
925,113.3035,113.084,34520960,115.5629,112.5515,113.6889,124797,2022-05-09 04:00:00
926,116.0405,114.5845,31157780,116.691,113.3833,115.1134,96723,2022-05-10 04:00:00
